ID,geo_Breite,geo_Länge,PLZ
3591,50.6743,6.4240,52385
3595,50.4107,7.8080,56412
3603,49.3895,9.9666,97996
3605,48.5334,10.2430,89168
3612,52.6711,9.2229,31582
3621,48.8253,10.5067,86756
3623,50.8294,6.6602,52388
3631,53.7123,7.1519,26548
3639,53.7647,8.6583,27637
3640,52.4124,7.0640,48529
3658,50.9095,7.5725,51588
3659,50.3391,6.9501,53520
3660,50.3601,6.8697,53534
3666,49.5008,11.1070,90411
3667,49.4258,11.2538,90475
3668,49.5030,11.0549,90427
3671,48.6321,9.3261,72622
3672,48.6207,8.8962,71154
3679,47.6187,12.1666,83088
3694,50.7005,10.7256,98559
3702,47.8780,7.8288,79244
3705,48.3147,8.5735,78727
3722,48.2443,11.5528,85764
3727,47.5619,10.0313,87534
3730,47.3986,10.2760,87561
3734,49.1280,9.3525,74182
3735,48.2635,12.2760,84419
3739,49.4521,12.4366,92526
3744,51.6018,9.5383,34399
3751,48.0449,9.8822,88416
3752,50.0300,11.8074,95686
3753,52.2042,7.1784,48607
3761,49.2070,9.5175,74613
3776,50.0946,8.7546,63069
3777,48.4593,7.9255,77656
3788,50.8646,14.7628,02785
3790,53.1018,8.2516,26135
3791,53.1763,8.1824,26127
3811,51.2960,13.0928,04758
3815,52.2553,8.0534,49082
3818,52.7167,11.7333,39579
3821,51.0873,11.9292,06721
3825,49.5033,7.2773,66629
3836,50.4538,10.2211,97645
3856,47.6383,10.4313,87466
3857,47.6362,10.3892,87466
3867,53.0643,7.4814,26871
3875,49.1510,11.6896,92331
3878,48.5807,13.4152,94034
3879,48.5779,13.4694,94034
3883,50.5999,11.9966,07952
3897,54.0893,10.8773,23730
3903,49.5114,6.3857,66706
3904,49.5354,6.3789,66706
3915,51.9893,13.3608,15837
3922,49.1162,10.8598,91738
3924,48.9059,8.7412,75181
3925,48.9329,8.6973,75228
3927,47.9344,9.2869,88630
3929,49.2511,8.4415,76661
3939,49.1912,7.5879,66954
3946,50.4819,12.1300,08527
3955,54.1590,10.4020,24306
3974,49.5058,11.5142,91224
3975,49.4777,11.5357,91224
3987,52.3813,13.0622,14473
3988,52.3822,13.0622,14473
4005,47.8588,12.3624,83209
4018,48.1877,11.2206,82256
4024,54.3643,13.4771,18581
4029,52.6691,7.9544,49610
4032,51.7953,11.1320,06484
4036,51.3895,11.5412,06268
4038,53.7276,9.9071,25451
4039,53.7331,9.8776,25451
4053,47.7458,9.0007,78315
4063,52.4461,8.5906,32369
4066,47.9091,11.1048,82399
4077,48.8471,8.1869,76437
4079,51.1765,11.4183,99636
4091,47.7327,12.6827,83324
4094,47.8062,9.6206,88250
4100,51.6243,7.1820,45657
4104,49.0424,12.1021,93057
4125,47.7238,12.8740,83435
4127,50.9906,7.6958,51580
4149,50.5602,13.2222,09496
4152,47.6783,8.1527,79809
4154,51.1800,7.2505,42897
4156,54.2878,9.6749,24783
4157,50.5052,7.4881,56579
4160,48.7425,8.9240,71272
4166,48.5051,9.1833,72770
